Symbol,Asset Name,Price
21J36109,SELF-DIRECT ACCT 21J36109,1.0
AAPL,APPLE INC,270.23
BRK.B,BERKSHIRE HATHAWAY Class B,474.42
CASH,Vanguard Federal Settlement Fund,1.0
CKG,Chase Premier Plus Checking Balance,1.0
CRYPTO,SBI Core Crypto Allocation Reserve,1.0
CSMIF,SMALL-MID CAP STOCK INDEX,52.2
CTVA,CORTEVA INC REG SHS,81.16
DD,DUPONT DE NEMOURS INC,46.75
DDLAF,LARGE CAP EQUITY FUND,76.23
DDLEI,LARGE CAP STOCK INDEX FUND,73.92
DMND_HILL,Diamond Hill Small-Mid Cap Portfolio C,18.05
DOW,Dow Inc.,35.6
ETH,Ethereum,2392.5
FCASH,HELD IN FCASH,1.0
FCON_POOL,FID CONTRA POOL,58.84
FDRXX,FID GOV CSH RSRV,1.0
FELIX,FIDELITY ADVISOR SERIES,165.01
FSELX,FIDELITY SELECT SEMI,57.5
FTEC,FIDELITY MSCI INFO TECH,248.85
FXAIX,FIDELITY 500 INDEX,249.33
HSA_CASH,HSA Cash Custody Balance,1.0
JEPQ,JPM NASDAQ EQUITY PREMIUM INCOME ETF,58.66
LC_IDX,Large Cap Index Portfolio Class C,56.82
LIC,LIC Superannuation Asset Base India,1.0
MGK,VANGUARD MEGA CAP GROWTH ETF,415.92
NVDA,NVIDIA CORP,216.61
PGRP,Pattern Group Inc. Series A Common,13.54
PNC,PNC Strategic Deposit Placement,1.0
QTUM,DEFIANCE QUANTUM ETF,131.89
SCHD,SCHWAB US DIVIDEND EQUITY ETF,31.05
SMH,VANECK SEMICONDUCTOR,506.26
SPAXX,HELD IN MONEY MARKET,1.0
SWEEP,Vanguard Cash Plus Bank Sweep,1.0
T-BILL,Treasury Bill Short Maturity,1.0
TIPS,TIPS Treasury Inflation Protection,1.0
TQQQ,PROSHARES ULTRA QQQ 3X,62.64
TRF30,TARGET RETIREMENT 2030 FUND,38.77
TRP_LCG,T Rowe Price Large Cap Growth C,83.34
TSLA,TESLA INC,400.62
USDC,USD Coin Token Balance,1.0
VCR,VANGUARD CONSUMER DISCRETIONARY ETF,398.59
VDEQX,VANGUARD DIVERSIFIED EQUITY FUND,55.25
VFIAX,VANGUARD 500 INDEX FUND,657.92
VGT,VANGUARD INFORMATION TECH ETF,805.58
VHT,VANGUARD HEALTH CARE ETF,278.45
VIGAX,VANGUARD GROWTH INDEX,254.27
VIMAX,VANGUARD MID CAP INDEX,380.25
VKTX,"Viking Therapeutics, Inc. Common",35.2
VMGMX,VANGUARD MID CAP GROWTH INDEX,122.12
VMRXX,VANGUARD CASH RESERVES FED MMKT,1.0
VOO,VANGUARD S&P 500 ETF,652.78
VT,VANGUARD TOTAL WORLD STOCK ETF,150.84
VTSAX,VANGUARD TOTAL STOCK MARKET,170.66
VUSXX,VANGUARD TREASURY MONEY MARKET FUND,1.0
VXUS,VANGUARD TOTAL INTERNATIONAL STOCK ETF,83.75
VYM,VANGUARD HIGH DIVIDEND YIELD ETF,155.11
XYZ,"Block, Inc.",71.26
